T,latent_size,std,classifier,accuracy,Classification_weighted_avg_precision,Classification_weighted_avg_recall,Classification_weighted_avg_f1,Classification_weighted_avg_support,generation_time,conformal_coverage,conformal_avg_set_size
400,10,2,KernelPCA-sigmoid(coef0=1) [Logistic],0.1,0.01,0.1,0.02,500,0.9996,0,0
400,12,1,PCA [Logistic],0.822,0.85,0.82,0.83,500,0.6979,0.69,0.75
400,12,1,KernelPCA-rbf(gamma=0.002) [Logistic],0.848,0.9,0.85,0.85,500,1.6744,0.512,0.51
400,12,1,KernelPCA-rbf(gamma=0.003) [Logistic],0.858,0.9,0.86,0.86,500,1.0518,0.54,0.54
400,12,1,KernelPCA-rbf(gamma=0.005) [Logistic],0.704,0.86,0.7,0.72,500,1.0691,0.328,0.33
400,12,1,"KernelPCA-poly(degree=2,coef0=0) [Logistic]",0.1,0.01,0.1,0.02,500,0.9368,0,0
400,12,1,"KernelPCA-poly(degree=2,coef0=1) [Logistic]",0.988,0.99,0.99,0.99,500,0.9446,0.974,0.98
400,12,1,"KernelPCA-poly(degree=3,coef0=0) [Logistic]",0.1,0.01,0.1,0.02,500,1.1414,0,0
400,12,1,"KernelPCA-poly(degree=3,coef0=1) [Logistic]",0.982,0.98,0.98,0.98,500,1.1514,0.972,0.99
400,12,1,KernelPCA-sigmoid(coef0=0) [Logistic],0.55,0.64,0.55,0.52,500,1.0604,0.224,0.22
400,12,1,KernelPCA-sigmoid(coef0=1) [Logistic],0.1,0.01,0.1,0.02,500,1.0587,0,0
400,12,1.5,PCA [Logistic],0.692,0.73,0.69,0.7,500,1.0319,0.592,0.76
400,12,1.5,KernelPCA-rbf(gamma=0.002) [Logistic],0.784,0.86,0.78,0.79,500,1.0471,0.486,0.5
400,12,1.5,KernelPCA-rbf(gamma=0.003) [Logistic],0.782,0.85,0.78,0.79,500,1.0573,0.528,0.54
400,12,1.5,KernelPCA-rbf(gamma=0.005) [Logistic],0.656,0.82,0.66,0.67,500,1.0664,0.366,0.38
400,12,1.5,"KernelPCA-poly(degree=2,coef0=0) [Logistic]",0.1,0.01,0.1,0.02,500,0.9275,0,0
400,12,1.5,"KernelPCA-poly(degree=2,coef0=1) [Logistic]",0.954,0.96,0.95,0.95,500,0.9523,0.892,0.91
400,12,1.5,"KernelPCA-poly(degree=3,coef0=0) [Logistic]",0.1,0.01,0.1,0.02,500,1.1586,0,0
400,12,1.5,"KernelPCA-poly(degree=3,coef0=1) [Logistic]",0.926,0.93,0.93,0.93,500,1.1366,0.916,0.97
400,12,1.5,KernelPCA-sigmoid(coef0=0) [Logistic],0.526,0.72,0.53,0.51,500,1.0254,0.226,0.23
400,12,1.5,KernelPCA-sigmoid(coef0=1) [Logistic],0.1,0.01,0.1,0.02,500,1.0402,0,0
400,12,2,PCA [Logistic],0.592,0.64,0.59,0.6,500,0.6941,0.536,0.81
400,12,2,KernelPCA-rbf(gamma=0.002) [Logistic],0.702,0.81,0.7,0.71,500,1.7249,0.464,0.5
400,12,2,KernelPCA-rbf(gamma=0.003) [Logistic],0.718,0.81,0.72,0.73,500,1.0353,0.512,0.55
400,12,2,KernelPCA-rbf(gamma=0.005) [Logistic],0.628,0.8,0.63,0.65,500,1.0672,0.374,0.41
400,12,2,"KernelPCA-poly(degree=2,coef0=0) [Logistic]",0.1,0.01,0.1,0.02,500,0.9524,0,0
400,12,2,"KernelPCA-poly(degree=2,coef0=1) [Logistic]",0.88,0.89,0.88,0.88,500,0.9273,0.83,0.89
400,12,2,"KernelPCA-poly(degree=3,coef0=0) [Logistic]",0.1,0.01,0.1,0.02,500,1.1478,0,0
400,12,2,"KernelPCA-poly(degree=3,coef0=1) [Logistic]",0.848,0.86,0.85,0.85,500,1.1599,0.834,0.96
